text,label
"the writing of the journalists and the required over eager reckless press officer and sobbing grandma was ham-fisted and cliché ridden.<br /><br />I cant blame the actors, but surely someone must have said ""are you joking I cant say this!""<br /><br />This episode had a press perspective and police perspective, while the police perspective was standard enough, the press perspective and characterization was overdrawn exaggerated and at points insultingly unbelievable.<br /><br />I notice that this was an HBO co production, if so then perhaps the sledgehammer stereotypes can be explained in that light,<br /><br />I was completely cringing during the press conference scene. it lacked any credibility and did not remotely ring true. 40 minutes into the first episode and I am still waiting for the suspense.<br /><br />Skip Five Daysthis. the 2008/9 production with these characters is far better and more suspenseful even if the crime is over the top.<br /><br />This story had unforgivable moments which can only be described as staggeringly unbelievable.<br /><br />For a press officer to start a press conference without an investigating officer present to take press questions.<br /><br />so unbelievable it felt like amateur hour.<br /><br />I then began looking for Journalists called ""Scoop"" and for Perry White to make an appearance.<br /><br />I saw the 2009 Hunter before ""five days""made it to Australia, not realizing it was a prequel and was looking forward to Bonneville and McTeer going around again.<br /><br />Head shakingly awful.",0
"For a mature man, to admit that he shed a tear over this film is a mature response, to a mature film.<br /><br />If one need admit more then perhaps one could say that, ""Life"" can never be the same, after viewing such advent for it has moved us to the next level.<br /><br />",1
"This movie is simply not worth the time or money spent. Full of clichés and a plot that makes absolutely no sense ! I cant believe that so many people have given this awful movie a 10. My guess is they are stooges of the movie maker. <br /><br />If I could give this movie a zero, I would. Too bad IMDb doesn't allow that. <br /><br />The only reason I watched it because I went with a friend who really wanted to see it. Whats sad is that I never had great expectations from this movie to begin with and yet I felt short changed. Take my word, don't waste your $8 on this piece of trash. The only entertainment I got out of the movie was making fun of the directors name. In all, highly NOT RECOMMENDED !",0
"The Sopranos is arguably the greatest show in Dramatic Television history.<br /><br />Its hard to think of another series that boasts so much intelligence, sublime writing or first rate performances.<br /><br />Across its epic scope it produces fresh and iconic characters and a constant level of high quality. Centering around the life of one Tony Soprano, a man who lives in two families. One is the conventional wife and two kids nuclear family the other a huge New Jersey Mafia group, of which he is the boss of both. Played by James Gandolfini, of True Romance and The Mexican fame, Tony is a fascinating, scary but also likable guy. Full praise must be given to Gandolfini for making a womanising and horrifically aggressive brute a genuinely identifiable and perfect leading man. Contemporay American drama has never had such an arresting and iconic figure as Tony.<br /><br />The cast of hundreds never boasts a flat performance and such stand out characters like Paulie Walnuts and Ralph Cifaretto will stick in your memory for ever.<br /><br />The true genius of this tale however, is the creator and writers bravery and revolutionary take on a conventional drama series. Twenty minute long dream sequences, powerful and original use of symbolism and metaphorical imagery and truly shocking scenes of violence. Yet all this style is met by truly touching themes of love, honour and respect for family. The series never becomes cold hearted or gratuitous.<br /><br />With TV now competitive and often poor The Sopranos stands tall above the rest as America's most original and compelling drama. Forget Family Redifined. This is Television Redifined.",1
"Anna lives with her family in a new housing estate just outside the city. She has been with her husband Sebastiaan for years and they don't talk so much anymore. While on a working visit abroad, a female colleague commits suicide. Anna is deeply impressed by her death, even though she hardly knew her. Nobody seems to know why she took her own life. For the first time Anna realizes that one can be an unknown among your most dearest. Anna doesn't mention the incident back home and starts observing her husband and child. Guernsey is the story of a woman who suddenly starts looking at her own life. And she wonders how she got so drifted apart from the people closest to her.<br /><br />(This is my translation of the DVD cover text synopsis. I hope you find it useful, as this movie doesn't have an IMDb Plot Summary yet at this date.)",0
"Sometimes I just want to laugh. Don't you? No analyzing, no critiquing and no looking for deeper meaning. Rent this movie, watch it all and laugh your ass off. Don't want to admit you liked it? Fine. But don't trash it here when you and I both know you liked it. It's Damn funny!",1
"Spoilers I loved the later episodes from college and on, but I wish I could get the last season on DVD. Unfortunately, the latest I could get is the first college season. Still the teenage years were sweet; although they focused a lot on magic, they also made her into a character that teens could relate to, deeling with the stuggles of teens, and children in divorced families. This show was very innocent; they did not get into the morbid teenage problems such as sex and drugs, but they did deel with pressure to fit in. I loved watching her grow up and cope with her magic on her own and trying to convince her Aunts to let go as she left the nest. The older episodes were cute, but it was just so much better to see her as (well not really a teenage witch anymore) but an adult witch. I loved Roxy and Mortgan; they were so talented! In the earlier episodes the Aunts were great actresses, but they were so strict, kind and loving, but they treated her like a young child in some ways, but not in every way. I mean they grounded her for every little mistake she made with her magic, I mean let her learn from her own mistakes for once! That was what I liked about the college episodes; she was able to learn from her own mistakes without be grounded over everything; that was annoying. Not to put down Hilda and Zelda. Melissa Joan Hard is beautiful and was perfect for the Sabrina with her Perky personality. I liked the last episode where she ran off the marry Harvey, but as somebody else said, it would have been nice to see what happened after. I mean I believe it was obvious they were getting married; where else would they be running off to in her wedding dress? But I would have liked to have seen it. I supposed they wanted to leave it up to the viewer to choose the ending though rather than spoon feeding it to us as most comedies do. Somebody said they could have shown them marry and go to school in the house, but they already graduated college. Sabrina had great job for a magazine and I think Harvey had a good job, because he lived in a nice apartment that we only see at the end, but they never say what he does. As a child they always talk about how he does not want to be an exterminator like his Dad. When Sabrian moved into the house that season, they never really explain how it happened. Actually, there is a lot the show does not explain, but I supposed it is supposed to be to leave it up to us and give it some mystery. Prior to Sabrina and her friends moving into the house, they show Hilda getting married and this whole spell that ends up with Zelda turning into a child. Hilda comes back in the last episode (and Zelda is there in some other form, but Beth is not on the episode) but they do not show Zelda's husband or what happened, like did they have children? Maybe they didn't want too much going on in one episode. I also liked Hart's sister who played her spoiled cousin! She was pretty and a great actress and it was interesting to see her grown up! I cannon believe it has been six years since the show went off the air! I still love the reruns! Also, I don't know if anybody noticed this, but in the earlier episodes, the town was called Westbridbe (a made up town I believe, which was supposed to be close to Salem) but in the later episodes, they don't mention the name of the town being caled Westbridge and I think they call it Boston, unless that is just where she worked. Also, I wanted to add, I found the episode, ""Wild Wild Sabrina"" where she is taught about the importance of rules, to be insulting. She was 18 and too old to be grounded; I would have been insulted if my parents grounded me at 18. And I think while an 18 year old might mess up how she did, they need to learn the consequences on their own. I think at 18 they know rules are important.",1
"this isn't 'Bonnie and Clyde' or 'Thelma and Louise' but it is a fine road movie. it sets up its two main characters gently and easily. viewers learn the underlying tensions quickly, which is a tribute to the director. there is the young french (and English) speaking son who wants to do well in France, has a french girlfriend and who drinks alcohol, parties as young men do. And there is his moroccan arabic (and french) speaking father who devoutly follows his Muslim faith, with generosity and the wisdom of elders and who rejects the new culture surrounding him (like mobile phones). the film could explore very powerful politics - the odd couple drive thru the former Yugoslavia, thru Turkey and then thru the Middle East to get to Mecca. these are areas where the Muslim populations have been involved in wars, repression, ethnic cleansing; where dictators have pursued torture and summary executions to hold power and where religious communities are in constant deadly battle with each other. yet the film moves thru those places and possibilities with only hints of such agendas. the relationship between the two is key to this film, and faith, politics are the backdrop. it seems to be saying that we are all human, and need to understand and care for each other in order to manage well in this world. it certainly isn't 'Natural Born Killers' and is all the better for it.",1
"Religious bigotry is rampant everywhere. Australia is not immune to it.<br /><br />A dingo snatched a baby and the mother was tried and sent to prison for having ""killed"" her own baby. I don't mean to spoil the story for you, but you need to know the basics before getting knee-deep in what caused this woman to find herself inside a prison.<br /><br />Buy or rent the movie and discover how deep-seated human hatred of those who are different continues to thrive around the globe.<br /><br />This is a very moving motion picture with a terrific cast of actors.<br /><br />Both Meryl Streep (with her famous Aussie accent) and Sam Neill, whose accent is his native-born pronunciation, are outstanding. Those with supporting roles are also quite good.<br /><br />You will remember this movie for many years.<br /><br />See it!",1
"THE KING MAKER will doubtless be a success in Thailand where the similar (but superior) 'The Legend of Suriyothai' set box office records. The film directed by Lek Kitaparaporn after a screenplay by Sean Casey based on historical fact in 1547 Siam has some amazingly beautiful visual elements but is disarmed by one of the corniest, pedestrian scripts and story development on film.<br /><br />The event the picture relates is the arrival of the Portuguese soldier of fortune Fernando de Gamma (Gary Stretch) whose vengeance for this father's murderer drives him to shipwrecked, captured and thrown into slavery and put on the bloc in Ayutthaya in the kingdom of Siam where he is purchased by the beautiful Maria (Cindy Burbridge) with the consent of her father Phillipe (John Rhys-Davies), a man with a name and a past that are revealed as the story progresses. There is a plot to overthrown the King and Fernando and his new Siamese sidekick Tong (Dom Hetrakul), after some gratuitous CGI enhanced choreographed martial arts silliness, are first rewarded by the King to become his bodyguards, only to be imprisoned together once Queen Sudachan (Yoe Hassadeevichit) reveals her plot to kill the king and son to allow her lover Lord Chakkraphat (Oliver Pupart) to take over the rule of Siam. Yet of course Fernando and Tong escape and are condemned to fight each other to save the lives of their families (Tong's wife and children and Fernando's now firm love affair with Maria) with the expected consequences.<br /><br />The acting (with the exception of John Rhys-Davies) is so weak that the film occasionally seems as though it were meant to be camp. The predominantly Thai cast struggle with the poorly written dialog, making us wish they had used their native Thai with subtitles. The musical score by Ian Livingstone sounds as though exhumed form old TV soap operas. But if it is visual splendor you're after there is plenty of that and that alone makes the movie worth watching. It is a film that has obvious high financial backing for all the special effects and masses of cast and sets and shows its good intentions. It is just the basics that are missing. Grady Harp",0
"I liked the initial premise to this film which is what led me to hunt it out but the problem I quickly found is that one pretty much knows what's going to happen within the first 20-30 minutes ( the doubles will come from behind the mirror and take over everybody).<br /><br />There is no real twist (which is fine) , but the final reveal doesn't make a great deal of sense either (how can she be racked with uncertainty and fear for the whole film, if she's an evil id from beyond the mirror?).<br /><br />Admittedly the scenes 'beyond the mirror' were chilling when they first appeared and the blonde's murder is also effectively creepy, but ultimately alas this seems to be a film in search of a story or a more engaging script, piling atmosphere upon atmosphere and over the top scary sound design for 80-90 minutes does not really cut it, in fact it gets quite dull.",0
"Sure, it was cheesy and nonsensical and at times corny, but at least the filmmakers didn't try. While most TV movies border on the brink of mediocrity, this film actually has some redeeming qualities to it. The cinematography was pretty good for a TV film, and Viggo Mortensen displays shades of Aragorn in a film about a man who played by his own rules. Most of the flashback sequences were kind of cheesy, but the scene with the mountain lion was intense. I was kind of annoyed by Jason Priestly's role in the film as a rebellious shock-jock, but then again, it's a TV MOVIE! Despite all of the good things, the soundtrack was atrocious. However, it was nice to see Tucson, Arizona prominently featured in the film.",1
"This is an excellent film for female body-builder & female action fans! I think that Sue Price did a great job in this film series (Nemesis 2,3,4) and proved to be a great fighter. She has a very striking appearance and a will of iron to resist the powerful Nebula (Nemesis 2). Though not a film of great value and Sue Price's acting skills not the best to have met in my life, the movie itself was something awesome, a priceless gem for fans of female body-builder action! Well, some parts of Nemesis 2 have been copied by other famous sci-fi films, such as Terminator or Predator, but that's not the point. The point is that A.Puyn casted in that film a very talented body-builder who put all of her energy and body talent to show us the best she can do. I really enjoyed that film and watched with the same enthusiasm Nemesis 3 (a rather boring sequel) and Nemesis 4 (a much more interesting sequel than 3). What a pity it hasn't shown yet on DVD :-(",1
"** possible spoilers **<br /><br />I like this film and have no problem staying awake for it. It reminds me of me at 20, except this is even better. Like Veronica says, two chicks at one time. It brings out the horniness in me, the casual conversation, these two real life chicks, rather than hookers, teasing us every step of the way. I get into the conversations too. Even if they are utterly b.s. at times, so what? Every chick, just about, that I've ever talked to and is high on herself is usually full of the same unreasoned rambling gratuitous self-centered b.s. philosophy. It's just a bunch of nonsense, and about as sensible as that other b.s. philosophy chicks are often into: astrological charts. The only deal with this movie is the guy is almost as feminine as the women, he's into the same b.s. and moodiness. The brunette chick is actually the most masculine person there.<br /><br />I think it's kind of funny that the brunette chick gets so obviously turned on by Veronica. She'd love to pull the little blonde away from Alexander, but Veronica plays her all the way. She's brilliant. She gets the brunette thinking there's something up between them, and then she steals the boy-child/man, which is only appropriate since they appear to be from the same age group. The brunette knows she's been had by the end, when she's dropping her face into the palms of her hands while Marlene Deitrich sings in the background that, paraphrasing, there are a million couples in Paris tonight, but I only have this refrain.<br /><br />But do they get married in the end, Alex and Veronica? Mmmm? I can only imagine a super-tumultuous relationship ending in a pre-marriage breakup. They are too selfish to be anything to each other than stepping stones.<br /><br />I like the film though. It kept me entertained, it's got a nice look, and it's sexy.",1
"I love these actors, but they were wasted in this flick.<br /><br />I can only wonder, what WERE they thinking agreeing to this crap???<br /><br />Debra Winger just phoned it in; Dennis Quaid and Arliss Howard were caricatures. Some people thought it was deep. Well, if you liked ""Breaking the Waves"", you'll probably like this too. I hated both. 3/10",0
"Remembering the dirty particulars of this insidiously vapid ""movie"" is akin to digging into your chest cavity with a rusty, salted spoon. Perhaps ""Home Alone 2: Lost in New York"" (1992) was a bit on the predictable side, but this pathetic excuse for a film is just one of the most shameless bids at commercialization I have ever heard of. A boy fighting off spies/terrorists when he's home alone in a Chicago suburb with the chickenpox? Ridiculous! Why did this film have to be made? I am the kind of person who believes even terrible movies are not wastes of time, but rather learning experiences. However, this is actually a waste of time. It should be avoided at all costs.",0
"Good luck finding this film to even watch - it's not yet released on tape or DVD. I saw on release in the early '70's, was lucky enough to catch it via American Cinematheque's preservation efforts, and it still has some tangible moments that stayed with me for thirty years.<br /><br />No reason to repeat rwint's accurate comments here. As a come-out Director soon after the soaring success of Five Easy Pieces, Jack N has been said to have managed the low budget effort as best as possible, and it certainly shows in the wandering and meandering that could have used some re-cutting. But it's also a memorable icon for it's time: the all very intense clashes of late 60's college sports, student movements, sexual revolution, and more. <br /><br />Why see this film? It was probably a ground breaker in some scenes: the frisky male bonding in the after-game showers; Karen Black's scene with Tepper in the car will catch you a little off guard - but it's the first use of a word I hadn't witnessed in film before; and the casual and unexpected use of nudity overall. There are probably others I'm omitting.<br /><br />Look for a nice surprise of a young Cindy Williams in one of her first films; a thin David Ogend Stiers; Mike Warren fresh out of his powder-blue UCLA uniform and readying for a dark-blue TV uniform; Robert Towne - Actor; and a whole lot of folks simply playing themselves.<br /><br />Now: any connection between Harry Gittes last name, Robert Towne, and a certain character in Chinatown and the Two Jakes?<br /><br />It gets a ""7"" based on Karen Black. You'll see why.",1
"Maybe the greatest film ever about jazz.<br /><br />It IS jazz.<br /><br />The opening shot continues to haunt my reverie.<br /><br />Lester, of course, is wonderful and out of this world.<br /><br />Jo Jones is always a delight (see The Sound of Jazz as well).<br /><br />If you can, find the music; it's available on CD.<br /><br />All lovers of jazz and film noir should study this tremendous jewel.<br /><br />What shadows and light - what music - what a hat!",1
"I saw the movie with two grown children. Although it was not as clever as Shrek, I thought it was rather good. In a movie theatre surrounded by children who were on spring break, there was not a sound so I know the children all liked it. There parents also seemed engaged. The death and apparent death of characters brought about the appropriate gasps and comments. Hopefully people realize this movie was made for kids. As such, it was successful although I liked it too. Personally I liked the Scrat!!",1
"What we have here is a film about how the pursuit of money & revenge can corrupt your soul... or something like that. Guy Ritchie, a director known for his reworking of the gangster genre, bites off more than he can chew with this one.<br /><br />His use of modern film noir to tackle the theme of a man setting himself free by swallowing his pride, being nice to his enemy & giving away all his money falls flat on it's face. When Jason Statham's character no longer fears Ray Liotta, it apparently drives Liotta crazy enough to blow his head off in the final scene. Why? Basically you cannot set up a mafiosi like the Liotta character, who has presumably got to his station in life by displaying the kind of ruthless behaviour evident throughout the film, only then to have him driven to suicide by nothing more than a pitying smile on the face of Statham's character.<br /><br />Before anyone starts to say I'm missing the point... I'm not. I get it OK? Opt out of the quest for riches & you'll find true happiness and inner peace. Be nice to your enemy and this will confuse him into self-destruction. This seems to be the gist of the movie and in itself this is not a bad premise for a story, although hardly original. The problem is that Ritchie simply doesn't have the skill as a movie maker to carry it off. At the moment when even Guy Ritchie realises this, he appears to get bored with the story and begins to insert red-herrings: The scene when Statham gets knocked over by a car - Why? The shooting of some scenes as Marvel comic animations... again, why?<br /><br />There are so many loose threads & unanswered questions left at the end of the movie you could get all 2001-ish about it and try figuring them out, or simply accept that there are no answers & each viewer will interpret things in their own way. Myself? I was so bored with the pompous tone of the film that I simply didn't care. Frankly the ending couldn't come too soon so that I didn't have to sit through any more of this pretentious psychobabble.<br /><br />A waste of two hours of my life.",0
"I saw this movie once in or close to its release year 36 years ago (1969). Although I can now only remember bits of it, I long to see it again. The parts I remember, rightly or wrongly, include Mustard gas in the trenches and Suzie Kendall as a German spy, offering some bloke sexual favours in the back of an enclosed truck to get military information from him. The music score was especially memorable and emotion stirring in the league of Gone With The Wind and I would love to hear it again. There must be some commercial or copyright reason why this movie is not available. Anyone know why? I doubt its anything to do with a lack of quality or interest.",1
